Date,Quarter,Year,AveragePrice,Total_vol,Small_vol,Large_vol,XLarge_vol,Type
1/11/2015,Q1,2015,1.42,669528.88,270966.74,260971.6,3830.42,organic
1/4/2015,Q1,2015,1.46,612910.15,233286.13,216611.2,4370.99,organic
1/31/2016,Q1,2016,1.43,772077.2,108929.21,269687.52,5515.91,organic
1/24/2016,Q1,2016,1.41,776964.55,99316.69,270980.88,12933.97,organic
1/17/2016,Q1,2016,1.44,695341.42,115992.81,266824.72,13106.29,organic
1/10/2016,Q1,2016,1.35,828670.59,113867.63,287590.19,8771.79,organic
1/3/2016,Q1,2016,1.43,704100.5,124799.63,246580.95,7749.4,organic
1/29/2017,Q1,2017,1.43,953206.1,131808.29,292584.44,3524.96,organic
1/22/2017,Q1,2017,1.37,994282.98,115700.02,281786.33,6707.82,organic
1/15/2017,Q1,2017,1.44,975724.28,121132.79,280287.84,8750.08,organic
1/8/2017,Q1,2017,1.43,990721.83,117721.87,283532.68,8697.35,organic
1/1/2017,Q1,2017,1.48,808971.88,99820.77,273329.61,4425.75,organic
1/28/2018,Q1,2018,1.61,1336979.09,118616.17,280080.34,1270.61,organic
1/21/2018,Q1,2018,1.63,1283987.65,108705.28,259172.13,1490.02,organic
1/14/2018,Q1,2018,1.59,1476651.08,145680.62,323669.83,1580.01,organic
1/7/2018,Q1,2018,1.51,1517332.7,129541.43,296490.29,1289.07,organic
